homologID	entrezHuman	symbHuman	entrezMouse	symbMouse
105	185	102723475	LOC102723475	16509	Kcne1
106	187	3815	KIT	16590	Kit
107	188	3859	KRT12	268482	Krt12
108	191	3914	LAMB3	16780	Lamb3
109	193	3952	LEP	16846	Lep
110	194	6445	SGCG	24053	Sgcg
111	195	6443	SGCB	24051	Sgcb
112	197	3978	LIG1	16881	Lig1
113	199	3990	LIPC	15450	Lipc
114	200	4023	LPL	16956	Lpl
115	201	3757	KCNH2	16511	Kcnh2
116	203	4128	MAOA	17161	Maoa
117	206	4233	MET	17295	Met
118	207	4261	CIITA	12265	Ciita
119	208	4292	MLH1	17350	Mlh1
120	210	4436	MSH2	17685	Msh2
121	212	4547	MTTP	17777	Mttp
122	215	4607	MYBPC3	17868	Mybpc3
123	219	4647	MYO7A	17921	Myo7a
124	220	4653	MYOC	17926	Myoc
125	221	4668	NAGA	17939	Naga
126	222	4669	NAGLU	27419	Naglu
127	223	5727	PTCH1	19206	Ptch1
128	225	4693	NDP	17986	Ndp
129	226	4763	NF1	18015	Nf1
130	227	4860	PNP	667034	Pnp2
131	228	4864	NPC1	18145	Npc1
132	229	4867	NPHP1	53885	Nphp1
133	230	4935	GPR143	18241	Gpr143
134	231	4942	OAT	18242	Oat
135	233	4952	OCRL	320634	Ocrl
136	234	5053	PAH	18478	Pah
137	236	5095	PCCA	110821	Pcca
138	237	5158	PDE6B	18587	Pde6b
139	239	5184	PEPD	18624	Pepd
140	240	5193	PEX12	103737	Pex12
141	242	5191	PEX7	18634	Pex7
142	246	5256	PHKA2	110094	Phka2
143	247	5257	PHKB	102093	Phkb
144	250	5310	PKD1	18763	Pkd1
145	253	5317	PKP1	18772	Pkp1
146	256	5351	PLOD1	18822	Plod1
147	257	5373	PMM2	54128	Pmm2
148	259	5449	POU1F1	18736	Pou1f1
149	260	5456	POU3F4	18994	Pou3f4
150	262	5498	PPOX	19044	Ppox
151	264	5627	PROS1	19128	Pros1
152	265	5728	PTEN	19211	Pten
153	266	5741	PTH	19226	Pth
154	267	5745	PTH1R	19228	Pth1r
155	268	5805	PTS	19286	Pts
156	269	5828	PEX2	19302	Pex2
157	270	5830	PEX5	19305	Pex5
158	271	5860	QDPR	110391	Qdpr
159	272	5925	RB1	19645	Rb1
160	273	5961	PRPH2	19133	Prph2
161	276	6094	ROM1	19881	Rom1
162	279	6247	RS1	20147	Rs1
163	281	6310	ATXN1	20238	Atxn1
164	283	6329	SCN4A	110880	Scn4a
165	285	6444	SGCD	24052	Sgcd
166	286	6557	SLC12A1	20495	Slc12a1
167	287	6559	SLC12A3	20497	Slc12a3
168	292	6606	SMN1	20595	Smn1
169	293	6622	SNCA	20617	Snca
170	294	6662	SOX9	20682	Sox9
171	295	6710	SPTB	20741	Sptb
172	297	6770	STAR	20845	Star
173	298	24	ABCA4	11304	Abca4
174	303	6948	TCN2	21452	Tcn2
175	306	7051	TGM1	21816	Tgm1
176	307	7054	TH	21823	Th
177	308	7056	THBD	21824	Thbd
178	309	7137	TNNI3	21954	Tnni3
179	313	7172	TPMT	22017	Tpmt
180	314	7248	TSC1	64930	Tsc1
181	315	7253	TSHR	22095	Tshr
182	317	7276	TTR	22139	Ttr
183	319	7372	UMPS	22247	Umps
184	320	7389	UROD	22275	Urod
185	324	7498	XDH	22436	Xdh
186	327	326	AIRE	11634	Aire
187	328	338	APOB	238055	Apob
188	330	642	BLMH	104184	Blmh
189	331	788	SLC25A20	57279	Slc25a20
190	332	846	CASR	12374	Casr
191	333	1026	CDKN1A	12575	Cdkn1a
192	334	1121	CHM	12662	Chm
193	335	1200	TPP1	12751	Tpp1
194	339	1439	CSF2RB	12983	Csf2rb
195	344	2068	ERCC2	13871	Ercc2
196	345	2132	EXT2	14043	Ext2
197	347	2582	GALE	74246	Gale
198	349	2760	GM2A	14667	Gm2a
199	350	2798	GNRHR	14715	Gnrhr
200	352	2820	GPD2	14571	Gpd2
201	353	2978	GUCA1A	14913	Guca1a
202	358	3295	HSD17B4	15488	Hsd17b4
203	359	3459	IFNGR1	15979	Ifngr1
204	360	3559	IL2RA	16184	Il2ra
205	362	3792	KEL	23925	Kel
206	363	3872	KRT17	16667	Krt17
207	369	4053	LTBP2	16997	Ltbp2
208	371	5048	PAFAH1B1	18472	Pafah1b1
209	372	4598	MVK	17855	Mvk
210	374	4688	NCF2	17970	Ncf2
211	375	4758	NEU1	18010	Neu1
212	376	4854	NOTCH3	18131	Notch3
213	377	5019	OXCT1	67041	Oxct1
214	379	5122	PCSK1	18548	Pcsk1
215	380	5145	PDE6A	225600	Pde6a
216	384	5339	PLEC	18810	Plec
217	385	5445	PON2	330260	Pon2
218	386	5664	PSEN2	19165	Psen2
219	387	5896	RAG1	19373	Rag1
220	389	6401	SELE	20339	Sele
221	390	6555	SLC10A2	20494	Slc10a2
222	392	6647	SOD1	20655	Sod1
223	393	6794	STK11	20869	Stk11
224	394	6821	SUOX	211389	Suox
225	395	3172	HNF4A	15378	Hnf4a
226	396	6928	HNF1B	21410	Hnf1b
227	397	7010	TEK	21687	Tek
228	398	7066	THPO	21832	Thpo
229	400	580	BARD1	12021	Bard1
230	402	7291	TWIST1	22160	Twist1
231	403	190	NR0B1	11614	Nr0b1
232	405	213	ALB	11657	Alb
233	408	272	AMPD3	11717	Ampd3
234	409	275	AMT	434437	Amt
235	413	353	APRT	11821	Aprt
236	416	546	ATRX	22589	Atrx
237	417	551	AVP	11998	Avp
238	418	713	C1QB	12260	C1qb
239	420	1415	CRYBB2	12961	Crybb2
240	425	2161	F12	58992	F12
241	426	2147	F2	14061	F2
242	428	2243	FGA	14161	Fga
243	429	2266	FGG	99571	Fgg
244	430	2488	FSHB	14308	Fshb
245	433	2668	GDNF	14573	Gdnf
246	437	3074	HEXB	15212	Hexb
247	441	3767	KCNJ11	16514	Kcnj11
248	443	7436	VLDLR	22359	Vldlr
249	444	4158	MC2R	17200	Mc2r
250	445	4359	MPZ	17528	Mpz
251	446	5009	OTC	18416	Otc
252	447	5096	PCCB	66904	Pccb
253	448	5354	PLP1	18823	Plp1
254	449	5378	PMS1	227099	Pms1
255	452	5994	RFXAP	170767	Rfxap
256	455	6295	SAG	20215	Sag
257	456	6439	SFTPB	20388	Sftpb
258	457	6609	SMPD1	20597	Smpd1
259	459	6927	HNF1A	21405	Hnf1a
260	460	7157	TP53	22059	Trp53
261	461	7173	TPO	22018	Tpo
262	462	7249	TSC2	22084	Tsc2
263	463	7252	TSHB	22094	Tshb
264	464	7306	TYRP1	22178	Tyrp1
265	465	7428	VHL	22346	Vhl
266	466	7450	VWF	22371	Vwf
267	467	1406	CRX	12951	Crx
268	468	8200	GDF5	14563	Gdf5
269	469	3040	HBA2	110257	Hba-a2
270	472	731	C8A	230558	C8a
271	473	3568	IL5RA	16192	Il5ra
272	474	3570	IL6R	16194	Il6ra
273	475	2209	FCGR1A	14129	Fcgr1
274	477	2214	FCGR3A	246256	Fcgr4
275	478	3586	IL10	16153	Il10
276	479	1604	CD55	13136	Cd55
277	480	3552	IL1A	16175	Il1a
278	481	3553	IL1B	16176	Il1b
279	486	2638	GC	14473	Gc
280	487	3600	IL15	16168	Il15
281	488	3558	IL2	16183	Il2
282	489	730	C7	109828	C7
283	491	3565	IL4	16189	Il4
284	492	3578	IL9	16198	Il9
285	493	929	CD14	12475	Cd14
286	495	6890	TAP1	21354	Tap1
287	496	7124	TNF	21926	Tnf
288	497	4049	LTA	16992	Lta
289	498	3484	IGFBP1	16006	Igfbp1
290	499	3485	IGFBP2	16008	Igfbp2
291	500	3486	IGFBP3	16009	Igfbp3
292	502	3569	IL6	16193	Il6
293	503	3082	HGF	15234	Hgf
294	504	4846	NOS3	18127	Nos3
295	505	733	C8G	69379	C8g
296	508	960	CD44	12505	Cd44
297	510	3481	IGF2	16002	Igf2
298	511	3263	HPX	15458	Hpx
299	513	920	CD4	12504	Cd4
300	515	3479	IGF1	16000	Igf1
301	519	624	BDKRB2	12062	Bdkrb2
302	521	974	CD79B	15985	Cd79b
303	522	4052	LTBP1	268977	Ltbp1
304	523	3588	IL10RB	16155	Il10rb
305	524	3454	IFNAR1	15975	Ifnar1
306	525	4689	NCF4	17972	Ncf4
307	526	3684	ITGAM	16409	Itgam
308	527	596	BCL2	12043	Bcl2
309	530	6648	SOD2	20656	Sod2
310	531	2936	GSR	14782	Gsr
311	532	7448	VTN	22370	Vtn
312	533	356	FASLG	14103	Fasl
313	534	3598	IL13RA2	16165	Il13ra2
314	535	3589	IL11	16156	Il11
315	536	178	AGL	77559	Agl
316	537	729230	CCR2	12772	Ccr2
317	539	6402	SELL	20343	Sell
318	540	7040	TGFB1	21803	Tgfb1
319	542	18	ABAT	268860	Abat
320	543	43	ACHE	11423	Ache
321	550	140	ADORA3	11542	Adora3
322	551	146	ADRA1D	11550	Adra1d
323	553	151	ADRA2B	11552	Adra2b
324	554	191	AHCY	269378	Ahcy
325	560	239	ALOX12	11684	Alox12
326	561	240	ALOX5	11689	Alox5
327	563	301	ANXA1	16952	Anxa1
328	564	476	ATP1A1	11928	Atp1a1
329	568	552	AVPR1A	54140	Avpr1a
330	569	593	BCKDHA	12039	Bckdha
331	570	623	BDKRB1	12061	Bdkrb1
332	572	644	BLVRA	109778	Blvra
333	573	645	BLVRB	233016	Blvrb
334	574	706	TSPO	12257	Tspo
335	578	776	CACNA1D	12289	Cacna1d
336	579	781	CACNA2D1	12293	Cacna2d1
337	582	786	CACNG1	12299	Cacng1
338	583	885	CCK	12424	Cck
339	585	915	CD3D	12500	Cd3d
340	586	916	CD3E	12501	Cd3e
341	587	1081	CGA	12640	Cga
342	591	1136	CHRNA3	110834	Chrna3
343	592	1137	CHRNA4	11438	Chrna4
344	593	1139	CHRNA7	11441	Chrna7
345	594	1140	CHRNB1	11443	Chrnb1
346	595	1141	CHRNB2	11444	Chrnb2
347	598	1384	CRAT	12908	Crat
348	599	1392	CRH	12918	Crh
349	600	1437	CSF2	12981	Csf2
350	601	1441	CSF3R	12986	Csf3r
351	615	1621	DBH	13166	Dbh
352	616	1633	DCK	13178	Dck
353	618	1644	DDC	13195	Ddc
354	620	1733	DIO1	13370	Dio1
355	621	1734	DIO2	13371	Dio2
356	623	1814	DRD3	13490	Drd3
357	624	2056	EPO	13856	Epo
358	625	2246	FGF1	14164	Fgf1
359	627	2350	FOLR2	14276	Folr2
360	628	2520	GAST	14459	Gast
361	629	2554	GABRA1	14394	Gabra1
362	631	2557	GABRA4	14397	Gabra4
363	633	2562	GABRB3	14402	Gabrb3
364	635	2571	GAD1	14415	Gad1
365	637	2618	GART	14450	Gart
366	638	2621	GAS6	14456	Gas6
367	639	2677	GGCX	56316	Ggcx
368	640	2692	GHRHR	14602	Ghrhr
369	641	2796	GNRH1	14714	Gnrh1
370	645	2903	GRIN2A	14811	Grin2a
371	646	2904	GRIN2B	14812	Grin2b
372	647	2905	GRIN2C	14813	Grin2c
373	648	2906	GRIN2D	14814	Grin2d
374	649	2911	GRM1	14816	Grm1
375	651	2913	GRM3	108069	Grm3
376	654	2918	GRM8	14823	Grm8
377	658	2947	GSTM3	14866	Gstm5
378	660	2950	GSTP1	14870	Gstp1
379	664	2983	GUCY1B3	54195	Gucy1b3
380	665	2987	GUK1	14923	Guk1
381	668	3269	HRH1	15465	Hrh1
382	669	3351	HTR1B	15551	Htr1b
383	671	3359	HTR3A	15561	Htr3a
384	673	3362	HTR6	15565	Htr6
385	675	3384	ICAM2	15896	Icam2
386	676	3482	IGF2R	16004	Igf2r
387	677	3554	IL1R1	16177	Il1r1
388	679	3567	IL5	16191	Il5
389	680	3574	IL7	16196	Il7
390	681	3592	IL12A	16159	Il12a
391	685	3694	ITGB6	16420	Itgb6
392	692	4254	KITLG	17311	Kitl
393	693	4256	MGP	17313	Mgp
394	695	1728	NQO1	18104	Nqo1
395	696	4835	NQO2	18105	Nqo2
396	697	4852	NPY	109648	Npy
397	699	4883	NPR3	18162	Npr3
398	700	4886	NPY1R	18166	Npy1r
399	701	4887	NPY2R	18167	Npy2r
400	708	5139	PDE3A	54611	Pde3a
401	709	5140	PDE3B	18576	Pde3b
402	712	5162	PDHB	68263	Pdhb
403	713	5241	PGR	18667	Pgr
404	715	5319	PLA2G1B	18778	Pla2g1b
405	716	5322	PLA2G5	18784	Pla2g5
406	717	5327	PLAT	18791	Plat
407	719	5345	SERPINF2	18816	Serpinf2
408	721	5430	POLR2A	20020	Polr2a
409	722	5431	POLR2B	231329	Polr2b
410	723	5443	POMC	18976	Pomc
411	725	5447	POR	18984	Por
412	726	5479	PPIB	19035	Ppib
413	727	5480	PPIC	19038	Ppic
414	730	5557	PRIM1	19075	Prim1
415	731	5558	PRIM2	19076	Prim2
416	732	5617	PRL	19109	Prl
417	733	5618	PRLR	19116	Prlr
418	734	5638	PRRG1	546336	Prrg1
419	735	5639	PRRG2	65116	Prrg2
420	736	5729	PTGDR	19214	Ptgdr
421	737	5730	PTGDS	19215	Ptgds
422	738	5731	PTGER1	19216	Ptger1
423	739	5732	PTGER2	19217	Ptger2
424	741	5737	PTGFR	19220	Ptgfr
425	743	5742	PTGS1	19224	Ptgs1
426	747	6122	RPL3	27367	Rpl3
427	748	6124	RPL4	67891	Rpl4
428	756	6141	RPL18	19899	Rpl18
429	763	6152	RPL24	68193	Rpl24
430	766	6156	RPL30	19946	Rpl30
431	768	6158	RPL28	19943	Rpl28
432	779	6188	RPS3	27050	Rps3
433	783	6193	RPS5	20103	Rps5
434	788	6204	RPS10	67097	Rps10
435	794	6217	RPS16	20055	Rps16
436	799	6228	RPS23	66475	Rps23
437	806	6240	RRM1	20133	Rrm1
438	810	6324	SCN1B	20266	Scn1b
439	811	6337	SCNN1A	20276	Scnn1a
440	813	6462	SHBG	20415	Shbg
441	816	6530	SLC6A2	20538	Slc6a2
442	817	6532	SLC6A4	15567	Slc6a4
443	819	6750	SST	20604	Sst
444	820	6751	SSTR1	20605	Sstr1
445	824	6870	TACR3	21338	Tacr3
446	825	6915	TBXA2R	21390	Tbxa2r
447	828	7132	TNFRSF1A	21937	Tnfrsf1a
448	829	7133	TNFRSF1B	21938	Tnfrsf1b
449	830	7153	TOP2A	21973	Top2a
450	833	7283	TUBG1	103733	Tubg1
451	834	7298	TYMS	22171	Tyms
452	838	7412	VCAM1	22329	Vcam1
453	839	7535	ZAP70	22637	Zap70
454	840	7915	ALDH5A1	214579	Aldh5a1
455	842	8654	PDE5A	242202	Pde5a
456	843	8985	PLOD3	26433	Plod3
457	846	14	AAMP	227290	Aamp
458	849	23	ABCF1	224742	Abcf1
459	854	47	ACLY	104112	Acly
460	855	49	ACR	11434	Acr
461	856	50	ACO2	11429	Aco2
462	863	93	ACVR2B	11481	Acvr2b
463	865	102	ADAM10	11487	Adam10
464	866	113	ADCY7	11513	Adcy7
465	868	115	ADCY9	11515	Adcy9
466	869	116	ADCYAP1	11516	Adcyap1
467	870	117	ADCYAP1R1	11517	Adcyap1r1
468	871	10227	MFSD10	68294	Mfsd10
469	872	123	PLIN2	11520	Plin2
470	873	133	ADM	11535	Adm
471	874	141	ADPRH	11544	Adprh
472	875	159	ADSS	11566	Adss
473	878	165	AEBP1	11568	Aebp1
474	879	166	AES	14797	Aes
475	881	173	AFM	280662	Afm
476	883	177	AGER	11596	Ager
477	884	242	ALOX12B	11686	Alox12b
478	886	247	ALOX15B	11688	Alox8
479	888	267	AMFR	23802	Amfr
480	896	318	NUDT2	66401	Nudt2
481	897	320	APBA1	319924	Apba1
482	898	322	APBB1	11785	Apbb1
483	899	330	BIRC3	11796	Birc3
484	900	329	BIRC2	11797	Birc2
485	901	331	XIAP	11798	Xiap
486	906	384	ARG2	11847	Arg2
487	907	394	ARHGAP5	11855	Arhgap5
488	908	396	ARHGDIA	192662	Arhgdia
489	910	406	ARNTL	11865	Arntl
490	911	419	ART3	109979	Art3
491	912	433	ASGR2	11890	Asgr2
492	913	501	ALDH7A1	110695	Aldh7a1
493	914	537	ATP6AP1	54411	Atp6ap1
494	915	563	AZGP1	12007	Azgp1
495	916	571	BACH1	12013	Bach1
496	917	578	BAK1	12018	Bak1
497	920	608	TNFRSF17	21935	Tnfrsf17
498	922	631	BFSP1	12075	Bfsp1
499	923	637	BID	12122	Bid
500	924	638	BIK	12124	Bik
501	925	639	PRDM1	12142	Prdm1
502	926	650	BMP2	12156	Bmp2
503	927	651	BMP3	110075	Bmp3
504	929	659	BMPR2	12168	Bmpr2
505	930	662	BNIP1	224630	Bnip1
506	931	687	KLF9	16601	Klf9
507	933	701	BUB1B	12236	Bub1b
508	936	813	CALU	12321	Calu
509	942	858	CAV2	12390	Cav2
510	946	902	CCNH	66671	Ccnh
511	947	904	CCNT1	12455	Ccnt1
512	949	943	TNFRSF8	21941	Tnfrsf8
513	950	944	TNFSF8	21949	Tnfsf8
514	954	958	CD40	21939	Cd40
515	955	968	CD68	12514	Cd68
516	956	970	CD70	21948	Cd70
517	960	996	CDC27	217232	Cdc27
518	963	1021	CDK6	12571	Cdk6
519	966	1031	CDKN2C	12580	Cdkn2c
520	968	1045	CDX2	12591	Cdx2
521	970	1102	RCBTB2	105670	Rcbtb2
522	975	1111	CHEK1	12649	Chek1
523	976	1113	CHGA	12652	Chga
524	979	1147	CHUK	12675	Chuk
525	980	1153	CIRBP	12696	Cirbp
526	981	1155	TBCB	66411	Tbcb
527	984	1179	CLCA1	23844	Clca3
528	985	1185	CLCN6	26372	Clcn6
529	987	53405	CLIC5	224796	Clic5
530	989	9079	LDB2	16826	Ldb2
531	990	1207	CLNS1A	12729	Clns1a
532	992	1238	ACKR2	59289	Ackr2
533	994	1261	CNGA3	12790	Cnga3
534	995	1264	CNN1	12797	Cnn1
535	996	1316	KLF6	23849	Klf6
536	997	1325	CORT	12854	Cort
537	999	1362	CPD	12874	Cpd
538	1000	1364	CLDN4	12740	Cldn4
539	1001	1365	CLDN3	12739	Cldn3
540	1002	1369	CPN1	93721	Cpn1
541	1003	1389	CREBL2	232430	Crebl2
542	1006	1434	CSE1L	110750	Cse1l
543	1011	1474	CST6	73720	Cst6
544	1012	1477	CSTF1	67337	Cstf1
545	1014	1479	CSTF3	228410	Cstf3
546	1015	1487	CTBP1	13016	Ctbp1
547	1016	1489	CTF1	13019	Ctf1
548	1017	1500	CTNND1	12388	Ctnnd1
549	1020	1519	CTSO	229445	Ctso
550	1022	1522	CTSZ	64138	Ctsz
551	1024	1525	CXADR	13052	Cxadr
552	1026	1601	DAB2	13132	Dab2
553	1027	1603	DAD1	13135	Dad1
554	1028	1606	DGKA	13139	Dgka
555	1029	1608	DGKG	110197	Dgkg
556	1032	1615	DARS	226414	Dars
557	1033	1616	DAXX	13163	Daxx
558	1035	1628	DBP	13170	Dbp
559	1038	1652	DDT	13202	Ddt
560	1039	1660	DHX9	13211	Dhx9
561	1040	1665	DHX15	13204	Dhx15
562	1042	1717	DHCR7	13360	Dhcr7
563	1043	1723	DHODH	56749	Dhodh
564	1044	1735	DIO3	107585	Dio3
565	1045	1736	DKC1	245474	Dkc1
566	1046	1740	DLG2	23859	Dlg2
567	1047	1742	DLG4	13385	Dlg4
568	1048	1767	DNAH5	110082	Dnah5
569	1049	1769	DNAH8	13417	Dnah8
570	1052	58511	DNASE2B	56629	Dnase2b
571	1053	1778	DYNC1H1	13424	Dync1h1
572	1057	1796	DOK1	13448	Dok1
573	1058	1798	DPAGT1	13478	Dpagt1
574	1059	1801	DPH1	116905	Dph1
575	1060	1802	DPH2	67728	Dph2
576	1061	1819	DRG2	13495	Drg2
577	1064	1842	ECM2	407800	Ecm2
578	1065	1846	DUSP4	319520	Dusp4
579	1066	1852	DUSP9	75590	Dusp9
580	1068	1889	ECE1	230857	Ece1
581	1069	1891	ECH1	51798	Ech1
582	1071	1901	S1PR1	13609	S1pr1
583	1072	1902	LPAR1	14745	Lpar1
584	1075	1943	EFNA2	13637	Efna2
585	1076	1949	EFNB3	13643	Efnb3
586	1077	1951	CELSR3	107934	Celsr3
587	1078	1952	CELSR2	53883	Celsr2
588	1080	1967	EIF2B1	209354	Eif2b1
589	1088	2012	EMP1	13730	Emp1
590	1089	2013	EMP2	13731	Emp2
591	1090	2014	EMP3	13732	Emp3
592	1094	2033	EP300	328572	Ep300
593	1095	2034	EPAS1	13819	Epas1
594	1097	2069	EREG	13874	Ereg
595	1099	2091	FBL	14113	Fbl
596	1100	2100	ESR2	13983	Esr2
597	1102	2135	EXTL2	58193	Extl2
598	1103	2137	EXTL3	54616	Extl3
599	1106	2168	FABP1	14080	Fabp1
600	1108	2172	FABP6	16204	Fabp6
601	1110	2196	FAT2	245827	Fat2
602	1114	2294	FOXF1	15227	Foxf1
603	1115	2295	FOXF2	14238	Foxf2
604	1117	2302	FOXJ1	15223	Foxj1
605	1119	2316	FLNA	192176	Flna
606	1126	2487	FRZB	20378	Frzb
607	1127	2515	ADAM2	11495	Adam2
608	1132	2550	GABBR1	54393	Gabbr1
609	1133	2583	B4GALNT1	14421	B4galnt1
610	1135	2622	GAS8	104346	Gas8
611	1136	2628	GATM	67092	Gatm
612	1137	2631	GBAS	14467	Gbas
613	1138	2637	GBX2	14472	Gbx2
614	1139	2646	GCKR	231103	Gckr
615	1140	2647	BLOC1S1	14533	Bloc1s1
616	1145	2675	GFRA2	14586	Gfra2
617	1146	2676	GFRA3	14587	Gfra3
618	1148	2729	GCLC	14629	Gclc
619	1152	2822	GPLD1	14756	Gpld1
620	1153	2833	CXCR3	12766	Cxcr3
621	1155	2880	GPX5	14780	Gpx5
622	1158	2959	GTF2B	229906	Gtf2b
623	1159	2966	GTF2H2	23894	Gtf2h2
624	1160	2967	GTF2H3	209357	Gtf2h3
625	1161	2972	BRF1	72308	Brf1
626	1165	3036	HAS1	15116	Has1
627	1166	3060	HCRT	15171	Hcrt
628	1168	3062	HCRTR2	387285	Hcrtr2
629	1170	3083	HGFAC	54426	Hgfac
630	1171	3091	HIF1A	15251	Hif1a
631	1174	3191	HNRNPL	15388	Hnrnpl
632	1180	3315	HSPB1	15507	Hspb1
633	1182	3321	IGSF3	78908	Igsf3
634	1185	3396	ICT1	68572	Ict1
635	1186	3400	ID4	15904	Id4
636	1187	3433	IFIT2	15958	Ifit2
637	1189	3437	IFIT3	667370	I830012O16Rik
638	1192	3487	IGFBP4	16010	Igfbp4
639	1193	3490	IGFBP7	29817	Igfbp7
640	1194	3491	CYR61	16007	Cyr61
641	1195	3547	IGSF1	209268	Igsf1
642	1196	3587	IL10RA	16154	Il10ra
643	1197	3595	IL12RB2	16162	Il12rb2
644	1198	3597	IL13RA1	16164	Il13ra1
645	1199	3604	TNFRSF9	21942	Tnfrsf9
646	1200	3606	IL18	16173	Il18
647	1201	3617	IMPG1	63859	Impg1
648	1203	3627	CXCL10	15945	Cxcl10
649	1204	3636	INPPL1	16332	Inppl1
650	1205	3646	EIF3E	16341	Eif3e
651	1207	3656	IRAK2	108960	Irak2
652	1208	3661	IRF3	54131	Irf3
653	1212	5080	PAX6	18508	Pax6
654	1213	16	AARS	234734	Aars
655	1216	36	ACADSB	66885	Acadsb
656	1217	53	ACP2	11432	Acp2
657	1219	56	ACRV1	11451	Acrv1
658	1221	119	ADD2	11519	Add2
659	1222	142	PARP1	11545	Parp1
660	1223	156	ADRBK1	110355	Adrbk1
661	1224	196	AHR	11622	Ahr
662	1225	197	AHSG	11625	Ahsg
663	1226	199	AIF1	11629	Aif1
664	1227	204	AK2	11637	Ak2
665	1229	214	ALCAM	11658	Alcam
666	1231	241	ALOX5AP	11690	Alox5ap
667	1234	259	AMBP	11699	Ambp
668	1235	262	AMD1	11702	Amd1
669	1238	313	AOAH	27052	Aoah
